annee,budget,casting_complet,casting_principal,director,duree,genres,langue,nbre_vote,pays,pegi,popularite_score,scenaristes,score,titre
2023,Nobudget,"ian boechat,kaique brito,erom cordeiro,lucas da silva,maya de vicq,alaylson emanuel,ivana iza,maeve jinkings,eduarda samara,elany santos","nara normande,tião,nara normande",nara normande,91,drama,portuguese,105,"brazil,france,italy",,0,nara normande,6.7,heartless
2023,1300000,"majd mastoura,walid bouchhioua,samer bisharat,selma zghidi,helmi dridi,wissem belgharak,ayoub hedhili,mondher chouchen,amel karray,ammar chikha,rania agrebi,mahmoud said,walid bel haj ammar,jasser oueslati,yosra rebai,mouna bel haj zekri,ala hamed,bilel ben ghorbel","mohamed ben attia,mohamed ben attia,stars",mohamed ben attia,98,drama,arabic,79,"tunisia,belgium,france,italy,saudi arabia,qatar",,0,mohamed ben attia,6.4,behind the mountains
2022,Nobudget,"mary woodvine,edward rowe,flo crowe,john woodvine,joe gray,loveday twomlow,callum mitchell,morgan val baker,amanda rawling,dion star,isaac woodvine","mark jenkin,mark jenkin,stars",mark jenkin,96,"fantasy, horror, mystery",english,3200,united kingdom,,0,mark jenkin,5.6,enys men
2023,6600000,"nadia tereszkiewicz,benoît magimel,benjamin biolay,guillaume gouix,gustave kervern,anna biolay,eugène marcuse,juliette armanet,serge bozon,peri bourgogne,lucas englander,aurélia petit,julien drion,laurent dassault,frédéric sauzay,jérémie bergerac,aminthe audiard,victoria amador","stéphanie di giusto,writers,romain compingt",stéphanie di giusto,115,"drama, history",french,123,"france,belgium",,0,stéphanie di giusto,6.8,rosalie
2023,Nobudget,"selma alaoui,veerle baetens,guillaume duhesme,anne dorval,adèle wismes,gringe,florence janas,astrid whettnall,victor cahay,sabrina lopez leonard","delphine girard,delphine girard,stars",delphine girard,108,drama,french,100,"belgium,france,canada",,0,delphine girard,6.9,through the night
2024,Nobudget,"rodrigo santoro,marcelo adnet,alice braga,keith silverstein,ian james corlett,luis bermudez,laila mccann,debra wilson,christopher corey smith,triya leong,rachel butera,misty lee,rick zieff,david lodge,bill rogers,karen strassman,mark lewis,nisa ward","alois di leo,sergio machado,rené veilleux",alois di leo,84,"animation, adventure, musical","english, portuguese",79,"brazil,india,netherlands,united states",,0,alois di leo,5.3,noah's ark
2024,100000000,"paul rudd,carrie coon,finn wolfhard,mckenna grace,kumail nanjiani,patton oswalt,celeste o'connor,logan kim,emily alyn lind,james acaster,bill murray,dan aykroyd,ernie hudson,annie potts,william atherton,shelley williams,chris tummings,john rothman","gil kenan,writers,gil kenan",gil kenan,115,"adventure, comedy, fantasy",english,22000,"united states,canada,united kingdom",PG-13,6,gil kenan,6.5,ghostbusters: frozen empire
2024,350000000,"prithviraj sukumaran,akshay kumar,pitobash,tiger shroff,alaya f,manushi chhillar,sonakshi sinha,ronit roy,yasmine alice,jugal hansraj,hiten patel,deshna dugad,rohed khan,richa prakash,james matheson,paalin kabak,manish chaudhari,nina kumar","ali abbas zafar,writers,aditya basu",ali abbas zafar,164,"action, thriller","hindi, tamil, telugu, kannada, malayalam",1100,india,,2753,ali abbas zafar,9.0,bade miyan chote miyan
2023,Nobudget,"hitoshi omika,ryô nishikawa,ryûji kosaka,ayaka shibutani,hazuki kikuchi,hiroyuki miura,yoshinori miyata,taijirô tamura,yûto torii","ryûsuke hamaguchi,writers,ryûsuke hamaguchi",ryûsuke hamaguchi,106,drama,japanese,2000,japan,,1077,ryûsuke hamaguchi,7.2,evil does not exist
2024,30000000,"nell tiger free,ralph ineson,sonia braga,tawfeek barhom,maria caballero,charles dance,bill nighy,nicole sorace,ishtar currie-wilson,andrea arcangeli,guido quaglione,dora romano,michelangelo dalisi,anton alexander,mia mcgovern zaini,eugenia delbue,charita cecamore,federica santoro","arkasha stevenson,writers,tim smith",arkasha stevenson,0,horror,english,5800,"united states,italy,united kingdom,canada,serbia",R,10,arkasha stevenson,6.9,the first omen
2024,Nobudget,"simon astier,lily aubry,sébastien chassagne,charlotte gainsbourg,josé garcia,hadrien heaulme,jiselle henderkott,kevin ke,baptiste lecaplain,adrien ménielle,jérôme niel,luis rego,lyès salem","florent bernard,florent bernard,stars",florent bernard,102,comedy,french,55,france,,0,florent bernard,7.9,"nous, les leroy"
2024,Nobudget,"xavier-adrien laurent,philippe saïd,xavier mussel,michèle brousse,marc dujarric,jean-claude bohbote,rémi guelfi,anne-capucine blot,yves capus,laurent levy,jean-marie bourcier,belen lorenzo,lucas villepelet,raul fokoua,jean-yves duparc,antonin dobrowolska,léo aguiton,damien le moing","xavier mussel,rémi guelfi,xavier mussel",xavier mussel,72,comedy,french,,switzerland,,0,xavier mussel,0.0,le naméssime
2024,Nobudget,"doru bem,ciprian chiriches,ana ciontea,ioan coman,george dinu,gábor erdei,bogdan farcas,cristina flutur,simona ghita,nicoleta lefter,iulian postelnicu,mihaela sirbu,palfi tibor","andrei cohn,andrei cohn,stars",andrei cohn,133,drama,romanian,27,"romania,france,switzerland,turkey",,0,andrei cohn,6.6,gefilte fish
2023,Nobudget,"karin anglin,clé bennett,john eric bentley,diontae black,róbert bolla,péter bozsó,lorne cardinal,csaba debreczeny,álmos elõd,andrás faragó,bill farmer,áron gauder,armand kautzky,luca kis-kovács,r. martin klein,danny kramer,priscilla landham,david mattle","áron gauder,géza bereményi,áron gauder",áron gauder,103,"animation, action, adventure","english, hungarian",416,hungary,TV-14,0,áron gauder,7.3,four souls of coyote
2024,Nobudget,"ajay devgn,priyamani,gajraj rao,nitanshi goel,bhavesh lohar,sunny yadav,allan bazil monteiro,maxx taylor,toplica milan dunjic,amartya ray,raphael jose,sammy jonas heaney,peter daniel adams,arnob khan akib,insane ashraf,shivangi bhardwaj,subhasis chakraborty,yvan du champ de la bataille","amit ravindernath sharma,writers,akash chawla",amit ravindernath sharma,181,"biography, drama, history","hindi, malayalam, tamil, telugu",1800,india,,2717,amit ravindernath sharma,9.3,maidaan
